"word","phonetic","meaning_zh","example","tags"
"accident","'æksədənt","意外事件；事故","Ken had an accident at work and had to go to hospital.","CET4luan_2"
"accidental",",æksɪ'dɛntl","偶然的；非本质的","an accidental discharge of toxic waste","CET4luan_2"
"accidentally",",æksə'dɛntli","偶然地，意外地","She accidentally erased the tape.","CET6_1"
"accommodate","ə'kɑmədet","容纳；供应，供给，提供住宿","He bought a huge house to accommodate his library.","CET4luan_2,CET6_1"
"accommodation","ə,kɑmə'deʃən","住处；工作场所","The price for the holiday includes flights and accommodation.","CET4luan_2"
"accompany","ə'kʌmpəni","陪伴，陪同；伴随","Children under 14 must be accompanied by an adult.","CET4luan_2"
"accomplish","ə'kɑmplɪʃ","达到（目的）；完成","We have accomplished all we set out to do.","CET4luan_2,CET6_1"
"accord","ə'kɔrd","给予；使一致","You will not be accorded any special treatment.","CET4luan_2"
"accordance","ə'kɔrdns","按照某事物","Article 47 may only be used in accordance with international law.","CET4luan_2"
"accordingly","ə'kɔrdɪŋli","照着；因此，所以","We have to discover his plans and act accordingly.","CET4luan_2"
"account","ə'kaʊnt","记述；解释；账目","She gave the police a full account of the incident.","CET4luan_2"
"accountable","ə'kaʊntəbl","应负责的，有责任的","The hospital should be held accountable for the quality of care it gives.","CET6_1"
"accountant","ə'kaʊntənt","会计","The boss dropped an accountant from the payroll.","CET6_1"
"accrue","ə'kru","积累","Interest will accrue until payment is made.","CET6_1"
"accumulate","ə'kjumjəlet","积累；堆积","It is unjust that a privileged few should continue to accumulate wealth.","CET4luan_2,CET6_1"
"accuracy","'ækjərəsi","准确（性）；准确度","He passes the ball with unerring accuracy.","CET4luan_2"
"accurate","'ækjərət","准确的，正确无误的","The brochure tries to give a fair and accurate description of each hotel.","CET4luan_2,CET6_1"
"accuse","ə'kjuz","指责；归咎于","The professor stands accused of (=  has been accused of  ) stealing his student’s ideas and publishing them.","CET4luan_2,CET6_1"
"accustom","ə'kʌstəm","使习惯","She tried to accustom herself to the tight bandages.","CET4luan_2,CET6_1"
"accustomed","ə'kʌstəmd","惯常的；习惯的","The pans were in their accustomed places.","CET4luan_2"
"ache","ek","痛","His feet were aching from standing so long.","CET4luan_2"
"achieve","ə'tʃiv","完成，实现；达到","Frances achieved very good exam results.","CET4luan_2,CET6_1"
"achievement","ə'tʃivmənt","成就，成绩；完成","His great achievement is to make all the players into a united team.","CET4luan_2"
"acid","'æsɪd","酸","sulphuric acid","CET4luan_2"
"acquaintance","ə'kwentəns","熟人；认识；了解","She was a casual acquaintance of my family in Vienna.","CET4luan_2,CET6_1"
"acquire","ə'kwaɪr","取得；获得；学到","She has acquired a good knowledge of English.","CET4luan_2"
"acre","'ekɚ","英亩","They own 200 acres of farmland.","CET4luan_2"
"across","ə'krɔs","横过；在…对面","He walked across the field.","CET4luan_2"
"act","ækt","行动；见效","The company acted correctly in sacking him.","CET4luan_2"
"action","'ækʃən","行动；作用；功能","The government must take action (=  do something  ) now to stop the rise in violent crime.","CET4luan_2"
"activate","'æktə'vet","激活","Cooking fumes may activate the alarm.","CET6_1"
"active","'æktɪv","活跃的；积极的","games for active youngsters","CET4luan_2"
"activity","æk'tɪviti","活动；活力；行动","Everyone is free to engage in peaceful political activity.","CET4luan_2"
"actor","'æktɚ","演剧的人","His father was an actor in the Cantonese Opera Company.","CET4luan_2"
"actress","'æktrɪs","女演员","She's not only a great dramatic actress but she's also very funny.","CET4luan_2"
"actual","'æktʃuəl","实际的","I’m not joking. Those were his actual words.","CET4luan_2"
"actually","'æktʃuəli","实际上；竟然","I’ve known Barbara for years. Since we were babies, actually.","CET4luan_2"
"acute","ə'kjut","敏锐的","Simon’s vague manner concealed an acute mind.","CET4luan_2"
"acutely","ə'kjutli","敏锐地","We continue to conduct tests, but increasingly, we conduct long conversations with her, acutely aware that our creation will raise many ethical questions on the part of the public.","CET6_1"
"ad","'e 'di","广告","She replied to a lonely hearts ad she spotted in the New York Times.","CET4luan_2"
"adapt","ə'dæpt","使适应；改编","The ability to adapt is a definite asset in this job.","CET4luan_2"
"adaptation",",ædæp'teʃən","适应；改编","Branagh won two awards for his screen adaptation of Shakespeare's Henry the Fifth.","CET6_1"
"add","æd","添加，附加，掺加","If the mixture seems dry, add water.","CET4luan_2"
"addict","'ædɪkt (for n.); əˈdɪkt (for v.)","上瘾，沉溺","Meanwhile, Walt's meth-business partner, the addict Jesse, is still recovering from the drug-related death of his girlfriend Jane at the end of last season.","CET6_1"
"addition","ə'dɪʃən","附加物；加，加法","the latest addition to our range of cars","CET4luan_2"
"additional","ə'dɪʃənl","附加的，追加的","Additional information can be obtained from the centre.","CET4luan_2"
"address","ə'drɛs","地址；演说","I can give you the address of a good attorney.","CET4luan_2,CET6_1"
"adequate","ˈædɪkwət","足够的；可以胜任的","Farmers have been slow to make adequate provision for their retirement.","CET4luan_2"
"adjective","'ædʒɪktɪv","形容词","an adjectival phrase","CET4luan_2"
"adjust","ə'dʒʌst","调整，调节","Check and adjust the brakes regularly.","CET4luan_2"
"administration","əd,mɪnɪ'streʃən","管理；管理部门","We’re looking for someone with experience in administration.","CET4luan_2,CET6_1"
"admire","ədˈmaɪr","钦佩，羡慕，赞赏","I really admire the way she brings up those kids all on her own.","CET4luan_2"
"admission","əd'mɪʃən","承认；允许进入","Reese, by his own admission , lacks the necessary experience.","CET4luan_2"
"admit","əd'mɪt","承认；准许…进入","‘Okay, so maybe I was a little bit scared,’ Jenny admitted.","CET4luan_2"
"adopt","ə'dɑpt","收养；采用；采取","Sally was adopted when she was four.","CET4luan_2,CET6_1"
"adult","'ædʌlt","成年人","Some children find it difficult to talk to adults.","CET4luan_2"
"advance","əd'væns","前进；提高","A line of US tanks slowly advanced.","CET4luan_2"
"advanced","əd'vænst","先进的；高级的","advanced weapon systems","CET4luan_2"
"advantage","əd'væntɪdʒ","优势；优点；好处","Younger workers tend to be at an advantage (=  have an advantage  ) when applying for jobs.","CET4luan_2"
"adventure","əd'vɛntʃɚ","冒险；惊险活动","Ahab’s adventures at sea","CET4luan_2,CET6_1"
"adventurer","əd'vɛntʃərɚ","冒险者","an adventurer travelling the world","CET6_1"
"adverb","'ædvɝb","副词","Will you please compare the adverb “well”?","CET4luan_2"
"adverse","ædˈvɚs, ˈædˌvɚs","相反的，敌对的","They fear it could have an adverse effect on global financial markets.","CET6_1"
"adversely","æd'vɝsli","不利地","I think everyone has something from their past that they're worried might adversely affect how they raise their children.","CET6_1"
"adversity","əd'vɝsəti","逆境","his courage in the face of adversity","CET6_1"
"advertisement",",ædvɚ'taɪzmənt","广告","They put an advertisement in ‘The Morning News’, offering a high salary for the right person.","CET4luan_2"
"advice","ædˈvaɪs; əd'vaɪs","劝告；忠告；意见","You should have followed my advice.","CET4luan_2"
"advisable","əd'vaɪzəbl","明智的；可取的","Regular medical check-ups are advisable.","CET4luan_2"
"advise","əd'vaɪz","劝告；建议；通知","She needed someone to advise her.","CET4luan_2"
"aeroplane","'ɛrə'plen","飞机","The aeroplane landed us at the airport in Barcelona.","CET4luan_2"
"affair","ə'fɛr","事务；事情，事件","Are you interested in world affairs?","CET4luan_2"
"affect","ə'fɛkt","影响；感动","the areas affected by the hurricane","CET4luan_2"
"affection","ə'fɛkʃən","慈爱，爱；爱慕","She looked back on those days with affection .","CET4luan_2,CET6_1"
"affiliate","ə'fɪlɪet","使隶属于","He wanted to affiliate with a U.S. firm because he needed expert advice in legal affairs.","CET6_1"
"affiliation","ə,fɪlɪ'eʃən","隶属关系，单位团体",,"CET6_1"
"afford","ə'fɔrd","担负得起…；提供","We can’t afford to wait any longer or we’ll miss the plane.","CET4luan_2"
"afraid","ə'fred","害怕的；担心的","There’s no need to be afraid.","CET4luan_2"
"Africa","ˈæfrɪkə","非洲","The giraffe ranges in Africa.","CET4luan_2"
"African","'æfrɪkən","非洲的","...the African continent.","CET4luan_2"
"after","'æftɚ","在…以后；次于","Your name comes after mine in the list.","CET4luan_2"
"afternoon",",æftɚ'nun","下午，午后","There’s a meeting on Thursday afternoon .","CET4luan_2"
"afterward","ˈæftərwərd","后来，以后","Shortly afterward, police arrested four suspects.","CET4luan_2"
"again","ə'ɡɛn","又一次；而且","Can you say that again? I didn’t hear.","CET4luan_2"
"against","ə'ɡɛnst","倚在；逆，对着","There was a ladder propped up against the wall.","CET4luan_2"
"age","edʒ","年龄；时代","Francis is the same age as me.","CET4luan_2"
"agency","'edʒənsi","经办；代理；代理处","a local housing agency","CET4luan_2"
"agenda","ə'dʒɛndə","议程","The Republicans have stuck to their conservative agenda.","CET6_1"
"agent","'edʒənt","代理人，代理商","Our agent in Rio deals with all our Brazilian business.","CET4luan_2"
"aggravate","'æɡrəvet","加重，加剧","Their money problems were further aggravated by a rise in interest rates.","CET6_1"
"aggressive","ə'ɡrɛsɪv","侵略的；好斗的","Jim’s voice became aggressive.","CET4luan_2,CET6_1"
"ago","ə'ɡo","以前","They moved to a new house some time ago (=  a fairly long time ago  ) .","CET4luan_2"
"agonize","'æɡənaɪz","使痛苦","As a mother, I agonize over what my children will inherit.","CET6_1"
"agony","'æɡəni","极度痛苦","the agony of arthritis","CET4luan_2,CET6_1"
"agree","ə'ɡri","同意；持相同意见","Teenagers and their parents rarely agree.","CET4luan_2"
"agreement","ə'grimənt","协定，协议；同意","They had made an agreement that they would share the profits equally.","CET4luan_2"
"agriculture","'æɡrɪkʌltʃɚ","农业，农艺；农学","More than 75% of the land is used for agriculture.","CET4luan_2"
"ahead","ə'hɛd","向前；在前；提前","He kept his gaze fixed on the car ahead.","CET4luan_2"
"aid","ed","帮助；助手；救护","He was breathing only with the aid of a ventilator.","CET4luan_2,CET6_1"
"aim","em","瞄准；针对；致力","Denver aimed his gun but did not shoot.","CET4luan_2"
"air","ɛr","空气；空中","Let’s go outside and get some fresh air.","CET4luan_2"
"aircraft","'ɛr'kræft","飞机，飞行器","The return flight of the aircraft was delayed.","CET4luan_2"
"airline","'ɛrlaɪn","航空公司","an airline pilot","CET4luan_2"
"airplane","ˈerpleɪn","飞机","The airplane cracked up in landing.","CET4luan_2"
"airport","'ɛr'pɔrt","机场，航空站","The plane landed at Heathrow Airport.","CET4luan_2"
"alarm","ə'lɑrm","警报；惊恐，忧虑","She decided to sound the alarm (= warn people that the situation was dangerous) .","CET4luan_2"
"alcohol","'ælkəhɔl","酒精，乙醇","low alcohol drinks","CET4luan_2"
"alert","ə'lɝt","机警的","The animal raised its head, suddenly alert.","CET6_1"
"alien","ˈeliən,ˈeljən","陌生的","the alien environment of the city","CET6_1"
"alike","ə'laɪk","相像；十分相似","My mother and I are alike in many ways.","CET4luan_2"
"alive","ə'laɪv","活着的；活跃的","It was a bad accident – they’re lucky to be alive.","CET4luan_2"
"all","ɔl","全部的","There is built-in storage space in all bedrooms.","CET4luan_2"
"allegedly","ə'lɛdʒɪdli","据说","a sports car, allegedly stolen in Manchester","CET6_1"
"allergic","ə'lɝdʒɪk","过敏的","an allergic reaction to nuts","CET6_1"
"alleviate","ə'livɪ'et","减轻，缓解","measures to alleviate poverty","CET6_1"
"allow","ə'laʊ","允许，准许；任","We don’t allow diving in the pool.","CET4luan_2"
"alloy","'ælɔɪ","合金；（金属的）成色","Brass is an alloy of copper and zinc.","CET4luan_2"
"almost","'ɔlmost","几乎，差不多","Have you almost finished?","CET4luan_2"
"alone","ə'lon","单独的","She lives alone.","CET4luan_2"
"along","ə'lɔŋ","沿着","We were driving along Follyfoot Road.","CET4luan_2"
"aloud","ə'laʊd","出声地；大声地","The teacher listened to the children reading aloud.","CET4luan_2"
"alphabet","'ælfə'bɛt","字母表，字母系统","The modern Russian alphabet has 31 letters.","CET4luan_2"
"alphabetical",",ælfə'bɛtɪkl","按字母表顺序的","The files are arranged in alphabetical order .","CET6_1"
"already","ɔl'rɛdi","早已，已经","‘Lunch? ’ ‘No thanks, I've already eaten. ’","CET4luan_2"
"also","'ɔlso","而且，还；亦，也","Information is also available on women’s health care.","CET4luan_2"
"alter","'ɔltɚ","改变，变更；改做","Her face hadn’t altered much over the years.","CET4luan_2"
"alternative","ɔl'tɝnətɪv","替换物；取舍，抉择","If payment is not received legal action will be our only alternative .","CET4luan_2,CET6_1"
"alternatively","ɔl'tɝnətɪvli","二选一地；非此即彼",,"CET6_1"
"although","ɔl'ðo","尽管，虽然","Although in poor health, she continued to carry out her duties.","CET4luan_2"
"altitude","'æltɪtud","高，高度；高处","The aircraft had reached its cruising altitude of about 39,000 feet.","CET4luan_2"
"altogether",",ɔltə'ɡɛðɚ","完全；总而言之","an old custom that has vanished altogether","CET4luan_2"
"aluminium",",æljə'mɪnɪəm","铝","recycled aluminium cans","CET4luan_2"
"always","'ɔlwez","总是，一直；永远","Always lock your bicycle to something secure.","CET4luan_2"
"amaze","ə'mez","使惊奇，使惊愕","Dave amazed his friends by suddenly getting married.","CET4luan_2"
"ambition","æm'bɪʃən","雄心，抱负，野心","He was young and full of ambition.","CET4luan_2,CET6_1"
"ambulance","'æmbjələns","救护车","the ambulance service","CET4luan_2"
"amend","ə'mɛnd","修订","The law was amended to include women.","CET6_1"
"America","əˈmɛrɪkə","美洲；美国","I may go to America or I may not,it all depends.","CET4luan_2"
"American","əˈmɛrɪkən","美洲的","Her mother is American.","CET4luan_2"
"among","ə'mʌŋ","在…之中","The girl quickly disappeared among the crowd.","CET4luan_2"
"amongst","ə'mʌŋst","在…之中（among）","He decided no assassin would chance a shot from amongst that crowd.","CET4luan_2"
"amount","ə'maʊnt","总数；数量；和","Please pay the full amount (=  of money  ) by the end of the month.","CET4luan_2"
"ampere",,"安培","And I prefer to an ampere meter being made of aluminum even though it has analog to another one.","CET4luan_2"
"amplify","'æmplɪfaɪ","放大，扩大；增强","an amplified guitar","CET4luan_2"
"amuse","ə'mjuz","逗…乐；给…娱乐","He made funny faces to amuse the children.","CET4luan_2"
"analyse","'æn(ə)laɪz","分析，分解，解析","She still needs to analyse the data.","CET4luan_2"
"analysis","ə'næləsɪs","分析，分解，解析","Further analysis of the data is needed.","CET4luan_2"
"analytical",",ænə'lɪtɪkl","分析的","She’s got an analytical mind.","CET6_1"
"ancestor","'ænsɛstɚ","祖宗，祖先","My ancestors were French.","CET4luan_2"
"anchor","'æŋkɚ","锚","We dropped anchor a few yards offshore.","CET4luan_2"
"ancient","ˈeɪnʃənt","古代的；古老的","the ancient civilizations of Asia","CET4luan_2,CET6_1"
"and","ənd, ən,ænd","和，又，并；则，那么","He’s gone to get some fish and chips.","CET4luan_2"
"angel","'endʒl","天使；安琪儿，天使〔指仁慈、善良或美丽的人〕","the angel Gabriel","CET4luan_2"
"anger","'æŋɡɚ","怒，愤怒","There is growing anger among the people against the government.","CET4luan_2"
"angle","'æŋɡl","角，角度","You didn’t measure the angle accurately.","CET4luan_2"
"angry","'æŋɡri","愤怒的，生气的","I was angry because he hadn’t told me his plans.","CET4luan_2"
"animal","'ænɪml","动物，兽","furry little animals","CET4luan_2"
"ankle","'æŋkl","踝，踝节部","slender ankles","CET4luan_2,CET6_1"
"announce","ə'naʊns","宣布，宣告，发表","They announced their engagement in ‘The Times’.","CET4luan_2"
"announcer","ə'naʊnsɚ","播音员","The radio announcer said it was nine o'clock.","CET4luan_2"
"annoy","ə'nɔɪ","使恼怒；打搅；打扰","What annoyed him most was that he had received no apology.","CET4luan_2"
"annual","'ænjuəl","每年的","The school trip has become an annual event.","CET4luan_2"
"anonymous","ə'nɑnəməs","匿名的","the anonymous author of a collection of poems","CET6_1"
"another","ə'nʌðɚ","再一个的；别的","They must have returned by another route.","CET4luan_2"
"answer","'ænsɚ","回答；响应","She thought for a moment before answering.","CET4luan_2"
"ant","ænt","蚂蚁","Ants swarmed up out of the ground and covered her shoes and legs.","CET4luan_2"
"anticipate","æn'tɪsə'pet","预料，预期；期望","Sales are better than anticipated.","CET4luan_2,CET6_1"
"anxiety","æŋ'zaɪəti","焦虑，忧虑；渴望","his feelings of anxiety","CET4luan_2,CET6_1"
"anxious","'æŋkʃəs","忧虑的；渴望的","She gave me an anxious look.","CET4luan_2"
"any","'ɛni","什么，一些；任何的","Have you got any money?","CET4luan_2"
"anybody",,"任何人","You should have a try, don't swallow anybody.","CET4luan_2"
"anyhow","'ɛnɪ'haʊ","无论如何","""Anyhow,"" she added briskly, ""it's none of my business.""","CET4luan_2"
"anyone","'ɛnɪ'wʌn","任何人","Anyone could win tonight.","CET4luan_2"
"anything","'ɛnɪ'θɪŋ","任何事物；一切","You can buy anything you want.","CET4luan_2"
"anyway","'ɛnɪ'we","无论如何","I know I'll be confronted with difficulties, but I will squeak by anyway.","CET4luan_2"
"anywhere","'ɛnɪwɛr","在什么地方","I haven't got anywhere to live.","CET4luan_2"
"apart","ə'pɑrt","相隔；分开；除去","They have offices in countries as far apart as India and Peru.","CET4luan_2"
"apartment","ə'pɑrtmənt","一套公寓房间","She lives in a small apartment.","CET4luan_2,CET6_1"
"apathy","'æpəθi","冷漠","The campaign failed because of public apathy.","CET6_1"
"apologize","ə'pɑlədʒaɪz","道歉，谢罪，认错","I’m so sorry, I do apologize.","CET4luan_2,CET6_1"
"apology","ə'pɑlədʒi","道歉，认错，谢罪","Edward can’t be here today, but he sends his apologies .","CET4luan_2"
"apparatus","ˌæpəˈrætəs","器械，仪器；器官","Astronauts have special breathing apparatus.","CET4luan_2"
"apparent","ə'pærənt","明显的；表面上的","The difference in quality was immediately apparent.","CET4luan_2"
"appeal","ə'pil","呼吁；申述","The girl’s family have made a public appeal for help to try and catch her killer.","CET4luan_2,CET6_1"
"appear","ə'pɪr","似乎；出现；来到","Police have found what appear to be human remains.","CET4luan_2"
"appearance","ə'pɪrəns","外观；出现，来到","He was always criticising his wife’s appearance.","CET4luan_2"
"appetite","'æpɪtaɪt","食欲，胃口；欲望","Her husband always had a huge appetite.","CET4luan_2"
"apple","'æpl","苹果","apple pie","CET4luan_2"
"appliance","ə'plaɪəns","用具，器具，器械","There’s plenty of space for all the usual kitchen appliances.","CET4luan_2"
"applicable","'æplɪkəbl","能应用的；适当的","What is a reasonable standard for one family is not applicable for another.","CET4luan_2,CET6_1"
"applicant","'æplɪkənt","申请者","We have had lots of applicants for these positions.","CET6_1"
"application","ˌæpləˈkeʃən","请求，申请；施用","We receive hundreds of job applications each year.","CET4luan_2"
"apply","ə'plaɪ","应用，实施，使用","These ideas are often difficult to apply in practice.","CET4luan_2"
"appoint","ə'pɔɪnt","任命，委任；约定","officials appointed by the government","CET4luan_2,CET6_1"
"appointment","ə'pɔɪntmənt","约定，约会；任命","All consultations are by appointment only.","CET4luan_2"
"appreciate","ə'priʃɪet","领会；感谢；欣赏","We appreciate that caring for children is an important job.","CET4luan_2"
"appreciative","ə'priʃətɪv","表示赞赏的，感谢的","There is a murmur of appreciative laughter.","CET6_1"
"approach","ə'protʃ","向…靠近","As I approached the house, I noticed a light on upstairs.","CET4luan_2,CET6_1"
"appropriate","əˈpropriɪt","适当的，恰当的","The timing of the announcement was particularly appropriate .","CET4luan_2,CET6_1"
"appropriation","ə,proprɪ'eʃən","挪用","Other charges include fraud and illegal appropriation of land.","CET6_1"
"approval","əˈpruvl","批准；赞成，同意","The president has already given his approval to the plan.","CET4luan_2"
"approve","ə'prʊv","批准；赞成，称许","The conference approved a proposal for a referendum.","CET4luan_2,CET6_1"
"approximate","ə'prɑksɪmət","近似的","What is the approximate number of students in each class?","CET4luan_2"
"approximately","ə'prɑksɪmətli","近似地，大约","The journey took approximately seven hours.","CET4luan_2,CET6_1"
"April","'eprəl","四月","The changes will be introduced in April.","CET4luan_2"
"aptly","'æptli","适当地","The aptly named Skyline Restaurant provides spectacular views of the city below.","CET6_1"
"Arabian","ə'rebiən","阿拉伯的","...the Arabian Peninsula.","CET4luan_2"
"arbitrary","ˈɑːrbətreri","随心所欲的；专断的","an arbitrary decision","CET4luan_2"
"architecture","'ɑrkə'tɛktʃɚ","建筑式样；建筑学","modern/classical/medieval etc architecture","CET4luan_2"
"area","'ɛrɪə","地区；面积；领域","Only cheeses made in this area may be labelled ‘Roquefort.’","CET4luan_2"
"argue","'ɑrgjʊ","争论；争辩，辩论","We could hear the neighbours arguing.","CET4luan_2"
"argument","'ɑrɡjumənt","争论，辩论；理由","She had a big argument with her husband.","CET4luan_2"
"arise","ə'raɪz","出现；由…引起","A crisis has arisen in the Foreign Office.","CET4luan_2,CET6_1"
"arithmetic","ə'rɪθmətɪk","算术；四则运算","He's not very good at arithmetic.","CET4luan_2"
"arm","ɑrm","臂；臂状物；武器","Dave has a broken arm .","CET4luan_2,CET6_1"
"army","'ɑrmi","军队；陆军","The army are helping to clear up after the floods.","CET4luan_2"
"around","ə'raʊnd","在…周围","The whole family was sitting around the dinner table.","CET4luan_2"
"arouse","ə'raʊz","引起，唤起；唤醒","Matt’s behavior was arousing the interest of the neighbors.","CET4luan_2,CET6_1"
"arrange","ə'rendʒ","筹备；整理","Contact your local branch to arrange an appointment.","CET4luan_2"
"arrangement","ə'rendʒmənt","安排；整理，排列","Have you made all your travel arrangements?","CET4luan_2"
"arrest","ə'rɛst","逮捕，拘留；阻止","He was arrested and charged with murder.","CET4luan_2"
"arrival","ə'raɪvəl","到达；到来；到达者","Only the timely arrival of the police prevented the situation from becoming worse.","CET4luan_2"
"arrive","ə'raɪv","到达；来临；达到","Give me a call to let me know you’ve arrived safely.","CET4luan_2"
"arrogant","'ærəɡənt","傲慢无礼的","He was unbearably arrogant.","CET6_1"
"arrow","'æro","箭；箭状物；〔指示方向的〕箭号，箭头（符号）","Warriors armed with bows and arrows and spears have invaded their villages.","CET4luan_2"
"art","ɑrt","艺术，美术；技术","the Museum of Modern Art in New York","CET4luan_2"
"article","'ɑrtɪkl","文章；物品；条款","The paper’s leading article (=  the main article  ) described the government as weak.","CET4luan_2"
"artificial",",ɑrtɪ'fɪʃl","人工的；娇揉造作的","artificial flowers","CET4luan_2,CET6_1"
"artist","'ɑrtɪst","艺术家，美术家","an exhibition of paintings by local artists","CET4luan_2"
"artistic","ɑr'tɪstɪk","艺术的；艺术家的","artistic work","CET4luan_2"
"as","æz,əz","当…的时候","I saw Peter as I was getting off the bus.","CET4luan_2"
"ascend","ə'sɛnd","上升","The plane ascended rapidly.","CET6_1"
"ash","æʃ","灰，灰末；骨灰","cigarette ash","CET4luan_2"
"ashamed","ə'ʃemd","惭愧（的）；羞耻（的）","Everyone cries sometimes – it’s nothing to be ashamed of.","CET4luan_2"
"Asia","ˈeʒə;ˈeʃə","亚洲","The European powers extended their authority in Asia.","CET4luan_2"
"Asian","ˈeʒən, ˈeʃən","亚洲的","The financial crisis devitalized the economy of the Asian countries.","CET4luan_2"
"aside","ə'saɪd","在旁边，到旁边","He pushed his half-eaten salad aside and left.","CET4luan_2"
"ask","æsk","问；要求；邀请","‘What’s your name?’ she asked.","CET4luan_2"
"asleep","ə'slip","睡着的，睡熟的","Quiet! The baby’s asleep.","CET4luan_2"
"aspect","'æspɛkt","方面；样子，外表","The book aims to cover all aspects of city life.","CET4luan_2,CET6_1"
"aspirational",",æspə'reʃənl","渴望的","aspirational young women","CET6_1"
"assassinate","ə'sæsn'et","刺杀，暗杀","a plot to assassinate the President","CET6_1"
"assault","ə'sɔlt","攻击","a case of robbery and assault","CET6_1"
"assemble","ə'sɛmbl","集合，召集；装配","A large crowd had assembled outside the American embassy.","CET4luan_2,CET6_1"
"assembly","ə'sɛmbli","集合；集会；装配","Police have imposed conditions on public assemblies.","CET4luan_2"
"assert","ə'sɝt","主张，断言","French cooking, she asserted, is the best in the world.","CET6_1"
"assess","ə'sɛs","对（财产等）估价","The value of the business was assessed at £1.25 million.","CET4luan_2"
"assessment","ə'sɛsmənt","评估，评价","a reading assessment test","CET6_1"
"assign","ə'saɪn","指派〔任务〕；分配；分派","I’ve been assigned the task of looking after the new students.","CET4luan_2"
"assignment","ə'saɪnmənt","任务；指定的作业","She’s gone to Italy on a special assignment.","CET4luan_2"
"assimilate","ə'sɪməlet","同化","There is every sign that new Asian-Americans are just as willing to assimilate.","CET6_1"
"assist","ə'sɪst","援助，帮助","The family decided to assist me with my chores.","CET4luan_2"
"assistant","ə'sɪstənt","助手，助理；助教","a clerical assistant","CET4luan_2"
"associate","ə'soʃɪet","交往","I don’t like these layabouts you’re associating with.","CET4luan_2"
"association","ə,soʃɪ'eʃən","协会，团体；联合","the Association of Master Builders","CET4luan_2,CET6_1"
"assume","ə'sum","假定；承担；呈现","I think we can safely assume (=  it is almost certain  ) that interest rates will go up again soon.","CET4luan_2,CET6_1"
"assumption","ə'sʌmpʃən","假设","You would be making an assumption that's not based on any fact that you could report.","CET6_1"
"assure","ə'ʃʊr","使确信；向…保证","The document is genuine, I can assure you .","CET4luan_2"
"astonish","ə'stɑnɪʃ","使惊讶，使吃惊","Her reply astonished me.","CET4luan_2"
"astronaut","'æstrə'nɔt","宇宙航行员，宇航员","The rocket boosts the astronaut into space.","CET4luan_2"
